"Transaction Date","Journal Entry Id","Account Number","Account Name","Amount","Posting Type","Currency","Product Type","Product Code","MarketID Finance","Customer Name","Description"
"2025-03-31","CB A/R USD 202503 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","167.540000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202503 A/R"
"2025-03-31","CB Revenue USD 202503 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","160.000000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202503 Revenue"
"2025-03-31","CB Tax USD 202503 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","7.540000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202503 Tax"
"2025-03-31","CB A/R USD 202503 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","167.540000","Credit","USD",\N,\N,\N,\N,"202503 A/R"
"2025-03-31","CB A/R USD 202503 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","167.540000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202503 A/R"
"2025-03-31","CB A/R USD 202503 2026-04-24T02:49:03.689Z 1","20000","Cash","167.540000","Debit","USD",\N,\N,\N,\N,"202503 A/R"
"2025-03-31","CB Tax USD 202503 2026-04-24T02:49:03.689Z 1","2500","Sales Tax","7.540000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202503 Tax"
"2025-03-31","CB Revenue USD 202503 2026-04-24T02:49:03.689Z 1","2600","Deferred Subscription - Current","160.000000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202503 Revenue"
"2025-04-30","CB A/R USD 202504 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","827.220000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202504 A/R"
"2025-04-30","CB Revenue USD 202504 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","790.000000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202504 Revenue"
"2025-04-30","CB Tax USD 202504 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","37.220000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202504 Tax"
"2025-04-30","CB A/R USD 202504 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","827.220000","Credit","USD",\N,\N,\N,\N,"202504 A/R"
"2025-04-30","CB A/R USD 202504 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","827.220000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202504 A/R"
"2025-04-30","CB A/R USD 202504 2026-04-24T02:49:03.689Z 1","20000","Cash","827.220000","Debit","USD",\N,\N,\N,\N,"202504 A/R"
"2025-04-30","CB Tax USD 202504 2026-04-24T02:49:03.689Z 1","2500","Sales Tax","37.220000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202504 Tax"
"2025-04-30","CB Revenue USD 202504 2026-04-24T02:49:03.689Z 1","2600","Deferred Subscription - Current","790.000000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202504 Revenue"
"2025-05-31","CB A/R USD 202505 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","1464.910000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202505 A/R"
"2025-05-31","CB Revenue USD 202505 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","1399.000000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202505 Revenue"
"2025-05-31","CB Tax USD 202505 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","65.910000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202505 Tax"
"2025-05-31","CB A/R USD 202505 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","1464.910000","Credit","USD",\N,\N,\N,\N,"202505 A/R"
"2025-05-31","CB A/R USD 202505 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","1464.910000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202505 A/R"
"2025-05-31","CB A/R USD 202505 2026-04-24T02:49:03.689Z 1","20000","Cash","1464.910000","Debit","USD",\N,\N,\N,\N,"202505 A/R"
"2025-05-31","CB Tax USD 202505 2026-04-24T02:49:03.689Z 1","2500","Sales Tax","65.910000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202505 Tax"
"2025-05-31","CB Revenue USD 202505 2026-04-24T02:49:03.689Z 1","2600","Deferred Subscription - Current","1399.000000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202505 Revenue"
"2025-06-30","CB A/R USD 202506 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","408.370000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202506 A/R"
"2025-06-30","CB Revenue USD 202506 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","390.000000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202506 Revenue"
"2025-06-30","CB Tax USD 202506 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","18.370000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202506 Tax"
"2025-06-30","CB A/R USD 202506 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","408.370000","Credit","USD",\N,\N,\N,\N,"202506 A/R"
"2025-06-30","CB A/R USD 202506 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","408.370000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202506 A/R"
"2025-06-30","CB A/R USD 202506 2026-04-24T02:49:03.689Z 1","20000","Cash","408.370000","Debit","USD",\N,\N,\N,\N,"202506 A/R"
"2025-06-30","CB Tax USD 202506 2026-04-24T02:49:03.689Z 1","2500","Sales Tax","18.370000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202506 Tax"
"2025-06-30","CB Revenue USD 202506 2026-04-24T02:49:03.689Z 1","2600","Deferred Subscription - Current","390.000000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202506 Revenue"
"2025-07-31","CB A/R USD 202507 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","104.710000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202507 A/R"
"2025-07-31","CB Revenue USD 202507 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","100.000000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202507 Revenue"
"2025-07-31","CB Tax USD 202507 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","4.710000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202507 Tax"
"2025-07-31","CB A/R USD 202507 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","104.710000","Credit","USD",\N,\N,\N,\N,"202507 A/R"
"2025-07-31","CB A/R USD 202507 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","104.710000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202507 A/R"
"2025-07-31","CB A/R USD 202507 2026-04-24T02:49:03.689Z 1","20000","Cash","104.710000","Debit","USD",\N,\N,\N,\N,"202507 A/R"
"2025-07-31","CB Tax USD 202507 2026-04-24T02:49:03.689Z 1","2500","Sales Tax","4.710000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202507 Tax"
"2025-07-31","CB Revenue USD 202507 2026-04-24T02:49:03.689Z 1","2600","Deferred Subscription - Current","100.000000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202507 Revenue"
"2025-08-31","CB A/R USD 202508 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","376.960000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202508 A/R"
"2025-08-31","CB Revenue USD 202508 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","360.000000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202508 Revenue"
"2025-08-31","CB Tax USD 202508 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","16.960000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202508 Tax"
"2025-08-31","CB A/R USD 202508 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","376.960000","Credit","USD",\N,\N,\N,\N,"202508 A/R"
"2025-08-31","CB A/R USD 202508 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","376.960000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202508 A/R"
"2025-08-31","CB A/R USD 202508 2026-04-24T02:49:03.689Z 1","20000","Cash","376.960000","Debit","USD",\N,\N,\N,\N,"202508 A/R"
"2025-08-31","CB Tax USD 202508 2026-04-24T02:49:03.689Z 1","2500","Sales Tax","16.960000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202508 Tax"
"2025-08-31","CB Revenue USD 202508 2026-04-24T02:49:03.689Z 1","2600","Deferred Subscription - Current","360.000000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202508 Revenue"
"2025-10-31","CB A/R USD 202510 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","282.720000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202510 A/R"
"2025-10-31","CB Revenue USD 202510 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","270.000000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202510 Revenue"
"2025-10-31","CB Tax USD 202510 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","12.720000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202510 Tax"
"2025-10-31","CB A/R USD 202510 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","282.720000","Credit","USD",\N,\N,\N,\N,"202510 A/R"
"2025-10-31","CB A/R USD 202510 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","282.720000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202510 A/R"
"2025-10-31","CB A/R USD 202510 2026-04-24T02:49:03.689Z 1","20000","Cash","282.720000","Debit","USD",\N,\N,\N,\N,"202510 A/R"
"2025-10-31","CB Tax USD 202510 2026-04-24T02:49:03.689Z 1","2500","Sales Tax","12.720000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202510 Tax"
"2025-10-31","CB Revenue USD 202510 2026-04-24T02:49:03.689Z 1","2600","Deferred Subscription - Current","270.000000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202510 Revenue"
"2025-12-31","CB A/R USD 202512 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","450.260000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202512 A/R"
"2025-12-31","CB Revenue USD 202512 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","430.000000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202512 Revenue"
"2025-12-31","CB Tax USD 202512 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","20.260000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202512 Tax"
"2025-12-31","CB A/R USD 202512 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","450.260000","Credit","USD",\N,\N,\N,\N,"202512 A/R"
"2025-12-31","CB A/R USD 202512 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","450.260000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202512 A/R"
"2025-12-31","CB A/R USD 202512 2026-04-24T02:49:03.689Z 1","20000","Cash","450.260000","Debit","USD",\N,\N,\N,\N,"202512 A/R"
"2025-12-31","CB Tax USD 202512 2026-04-24T02:49:03.689Z 1","2500","Sales Tax","20.260000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202512 Tax"
"2025-12-31","CB Revenue USD 202512 2026-04-24T02:49:03.689Z 1","2600","Deferred Subscription - Current","430.000000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202512 Revenue"
"2026-01-31","CB A/R USD 202601 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","523.560000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202601 A/R"
"2026-01-31","CB Revenue USD 202601 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","500.000000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202601 Revenue"
"2026-01-31","CB Tax USD 202601 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","23.560000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202601 Tax"
"2026-01-31","CB A/R USD 202601 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","523.560000","Credit","USD",\N,\N,\N,\N,"202601 A/R"
"2026-01-31","CB A/R USD 202601 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","523.560000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202601 A/R"
"2026-01-31","CB A/R USD 202601 2026-04-24T02:49:03.689Z 1","20000","Cash","523.560000","Debit","USD",\N,\N,\N,\N,"202601 A/R"
"2026-01-31","CB Tax USD 202601 2026-04-24T02:49:03.689Z 1","2500","Sales Tax","23.560000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202601 Tax"
"2026-01-31","CB Revenue USD 202601 2026-04-24T02:49:03.689Z 1","2600","Deferred Subscription - Current","500.000000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202601 Revenue"
"2026-02-28","CB A/R USD 202602 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","460.730000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202602 A/R"
"2026-02-28","CB Revenue USD 202602 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","440.000000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202602 Revenue"
"2026-02-28","CB Tax USD 202602 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","20.730000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202602 Tax"
"2026-02-28","CB A/R USD 202602 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","460.730000","Credit","USD",\N,\N,\N,\N,"202602 A/R"
"2026-02-28","CB A/R USD 202602 2026-04-24T02:49:03.689Z 1","1170","Circulation Accounts Receivable","460.730000","Debit","USD","SUBSCRIPTION","2",\N,\N,"202602 A/R"
"2026-02-28","CB A/R USD 202602 2026-04-24T02:49:03.689Z 1","20000","Cash","460.730000","Debit","USD",\N,\N,\N,\N,"202602 A/R"
"2026-02-28","CB Tax USD 202602 2026-04-24T02:49:03.689Z 1","2500","Sales Tax","20.730000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202602 Tax"
"2026-02-28","CB Revenue USD 202602 2026-04-24T02:49:03.689Z 1","2600","Deferred Subscription - Current","440.000000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202602 Revenue"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","242.700000","Credit","USD",\N,\N,\N,\N,"202603 A/R"
"2026-03-31","CB Revenue USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","100.000000","Credit","USD",\N,\N,\N,\N,"202603 Revenue"
"2026-03-31","CB Tax USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","8.630000","Credit","USD",\N,\N,\N,\N,"202603 Tax"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","323.070000","Credit","USD","BOLDOWNLOAD","50",\N,\N,"202603 A/R"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","109.360000","Credit","USD","BOLPRINT","100",\N,\N,"202603 A/R"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","19411.000000","Credit","USD","BSLF","14",\N,\N,"202603 A/R"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","4875.000000","Credit","USD","BSLS","14",\N,\N,"202603 A/R"
"2026-03-31","CB Revenue USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","250.000000","Credit","USD","BSLS","14",\N,\N,"202603 Revenue"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","949.000000","Credit","USD","CALENDARF","10",\N,\N,"202603 A/R"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","3154.000000","Credit","USD","CALENDARS","10",\N,\N,"202603 A/R"
"2026-03-31","CB Revenue USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","250.000000","Credit","USD","CALENDARS","10",\N,\N,"202603 Revenue"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","131584.260000","Credit","USD","ENTERPRISE","3",\N,\N,"202603 A/R"
"2026-03-31","CB Revenue USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","42084.000000","Credit","USD","ENTERPRISE","3",\N,\N,"202603 Revenue"
"2026-03-31","CB Tax USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","1087.540000","Credit","USD","ENTERPRISE","3",\N,\N,"202603 Tax"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","1340.630000","Credit","USD","ENTERPRISE","33",\N,\N,"202603 A/R"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","9384.380000","Credit","USD","ENTERPRISE","34",\N,\N,"202603 A/R"
"2026-03-31","CB Revenue USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","7500.000000","Credit","USD","ENTERPRISE","34",\N,\N,"202603 Revenue"
"2026-03-31","CB Tax USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","543.750000","Credit","USD","ENTERPRISE","34",\N,\N,"202603 Tax"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","17475.000000","Credit","USD","POTMF","13",\N,\N,"202603 A/R"
"2026-03-31","CB Revenue USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","569.100000","Credit","USD","POTMF","13",\N,\N,"202603 Revenue"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","900.000000","Credit","USD","POTMS","113",\N,\N,"202603 A/R"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","43510.000000","Credit","USD","POTMS","13",\N,\N,"202603 A/R"
"2026-03-31","CB Revenue USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","4725.900000","Credit","USD","POTMS","13",\N,\N,"202603 Revenue"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","528.600000","Credit","USD","REPRINT","306",\N,\N,"202603 A/R"
"2026-03-31","CB Revenue USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","95.000000","Credit","USD","REPRINT","306",\N,\N,"202603 Revenue"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","2636.010000","Credit","USD","SEATS","403",\N,\N,"202603 A/R"
"2026-03-31","CB Revenue USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","1050.000000","Credit","USD","SEATS","403",\N,\N,"202603 Revenue"
"2026-03-31","CB Tax USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","76.130000","Credit","USD","SEATS","403",\N,\N,"202603 Tax"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","1071.190000","Credit","USD","SHARELINK","306",\N,\N,"202603 A/R"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","28011.780000","Credit","USD","SUBSCRIPTION","1",\N,\N,"202603 A/R"
"2026-03-31","CB Revenue USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","5851.850000","Credit","USD","SUBSCRIPTION","1",\N,\N,"202603 Revenue"
"2026-03-31","CB Tax USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","216.450000","Credit","USD","SUBSCRIPTION","1",\N,\N,"202603 Tax"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","31452.640000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202603 A/R"
"2026-03-31","CB Revenue USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","4088.350000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202603 Revenue"
"2026-03-31","CB Tax USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","193.850000","Credit","USD","SUBSCRIPTION","2",\N,\N,"202603 Tax"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","374.320000","Credit","USD","SUBSCRIPTION","28",\N,\N,"202603 A/R"
"2026-03-31","CB Revenue USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","184.000000","Credit","USD","SUBSCRIPTION","28",\N,\N,"202603 Revenue"
"2026-03-31","CB Tax USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","13.050000","Credit","USD","SUBSCRIPTION","28",\N,\N,"202603 Tax"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","106.260000","Credit","USD","SUBSCRIPTION","29",\N,\N,"202603 A/R"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","5621.030000","Credit","USD","SUBSCRIPTION","4",\N,\N,"202603 A/R"
"2026-03-31","CB Revenue USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","1179.490000","Credit","USD","SUBSCRIPTION","4",\N,\N,"202603 Revenue"
"2026-03-31","CB Tax USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","125.240000","Credit","USD","SUBSCRIPTION","4",\N,\N,"202603 Tax"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","12754.620000","Credit","USD","SUBSCRIPTION","5",\N,\N,"202603 A/R"
"2026-03-31","CB Revenue USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","3849.480000","Credit","USD","SUBSCRIPTION","5",\N,\N,"202603 Revenue"
"2026-03-31","CB Tax USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","1043.840000","Credit","USD","SUBSCRIPTION","5",\N,\N,"202603 Tax"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","3630.320000","Credit","USD","SUBSCRIPTION","6",\N,\N,"202603 A/R"
"2026-03-31","CB Revenue USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","1097.990000","Credit","USD","SUBSCRIPTION","6",\N,\N,"202603 Revenue"
"2026-03-31","CB Tax USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","69.860000","Credit","USD","SUBSCRIPTION","6",\N,\N,"202603 Tax"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","108.630000","Debit","USD",\N,\N,\N,\N,"202603 A/R"
"2026-03-31","CB Revenue USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","225.000000","Debit","USD",\N,\N,\N,\N,"202603 Revenue"
"2026-03-31","CB Tax USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","17.700000","Debit","USD",\N,\N,\N,\N,"202603 Tax"
"2026-03-31","CB Revenue USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","299.000000","Debit","USD","BOLDOWNLOAD","50",\N,\N,"202603 Revenue"
"2026-03-31","CB Tax USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","24.070000","Debit","USD","BOLDOWNLOAD","50",\N,\N,"202603 Tax"
"2026-03-31","CB Revenue USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","100.000000","Debit","USD","BOLPRINT","100",\N,\N,"202603 Revenue"
"2026-03-31","CB Tax USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","9.360000","Debit","USD","BOLPRINT","100",\N,\N,"202603 Tax"
"2026-03-31","CB Revenue USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","19411.000000","Debit","USD","BSLF","14",\N,\N,"202603 Revenue"
"2026-03-31","CB A/R USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","250.000000","Debit","USD","BSLS","14",\N,\N,"202603 A/R"
"2026-03-31","CB Revenue USD 202603 2026-04-24T02:49:03.689Z 1","1110","AR Clearing Account","4875.000000","Debit","USD","BSLS","14",\N,\N,"202603 Revenue"
